lemma,pos,cefr_level,word_type,definition_en,definition_th,source,form,form_type,definition_th_simple
deposit,verb,C1,single,"To put money into a bank account, or to put down as a partial payment","ฝากเงิน, วางมัดจำ",oxford5000,deposit,base,ฝากเงินหรือวางเงินมัดจำ
deposit,verb,C1,single,"To put money into a bank account, or to put down as a partial payment","ฝากเงิน, วางมัดจำ",oxford5000,deposits,third_person,ฝากเงินหรือวางเงินมัดจำ
deposit,verb,C1,single,"To put money into a bank account, or to put down as a partial payment","ฝากเงิน, วางมัดจำ",oxford5000,deposited,past,ฝากเงินหรือวางเงินมัดจำ
deposit,verb,C1,single,"To put money into a bank account, or to put down as a partial payment","ฝากเงิน, วางมัดจำ",oxford5000,depositing,gerund,ฝากเงินหรือวางเงินมัดจำ
depressed,adj,B2,single,Feeling very sad and without hope,ซึมเศร้า,oxford3000,depressed,base,รู้สึกซึมเศร้า
depressing,adj,B2,single,Making someone feel sad and without hope,"น่าหดหู่, น่าซึมเศร้า",oxford3000,depressing,base,ที่ทำให้รู้สึกหดหู่ซึมเศร้า
depression,noun,B2,single,"A medical condition of feeling very sad and without hope, or a period when there is very little business activity","ภาวะซึมเศร้า, เศรษฐกิจตกต่ำ",oxford5000,depression,base,ภาวะซึมเศร้า หรือภาวะเศรษฐกิจตกต่ำ
depression,noun,B2,single,"A medical condition of feeling very sad and without hope, or a period when there is very little business activity","ภาวะซึมเศร้า, เศรษฐกิจตกต่ำ",oxford5000,depressions,plural,ภาวะซึมเศร้า หรือภาวะเศรษฐกิจตกต่ำ
deprive,verb,C1,single,To prevent someone from having or using something,"พราก, ทำให้ขาด",oxford5000,deprive,base,พรากหรือทำให้ขาดสิ่งที่จำเป็น
deprive,verb,C1,single,To prevent someone from having or using something,"พราก, ทำให้ขาด",oxford5000,deprives,third_person,พรากหรือทำให้ขาดสิ่งที่จำเป็น
deprive,verb,C1,single,To prevent someone from having or using something,"พราก, ทำให้ขาด",oxford5000,deprived,past,พรากหรือทำให้ขาดสิ่งที่จำเป็น
deprive,verb,C1,single,To prevent someone from having or using something,"พราก, ทำให้ขาด",oxford5000,depriving,gerund,พรากหรือทำให้ขาดสิ่งที่จำเป็น
depth,noun,B2,single,The distance from the top to the bottom of something,ความลึก,oxford3000,depth,base,ความลึก
depth,noun,B2,single,The distance from the top to the bottom of something,ความลึก,oxford3000,depths,plural,ความลึก
deputy,noun,C1,single,A person whose job is to help and take the place of the person in charge,"รอง, ผู้ช่วยหัวหน้า",oxford5000,deputy,base,ผู้ช่วยหรือรองหัวหน้า
deputy,noun,C1,single,A person whose job is to help and take the place of the person in charge,"รอง, ผู้ช่วยหัวหน้า",oxford5000,deputies,plural,ผู้ช่วยหรือรองหัวหน้า
derive,verb,B2,single,To get or obtain something from a particular source,"ได้มาจาก, สืบเนื่องมาจาก",oxford5000,derive,base,ได้มาจากแหล่งใดแหล่งหนึ่ง
derive,verb,B2,single,To get or obtain something from a particular source,"ได้มาจาก, สืบเนื่องมาจาก",oxford5000,derives,third_person,ได้มาจากแหล่งใดแหล่งหนึ่ง
derive,verb,B2,single,To get or obtain something from a particular source,"ได้มาจาก, สืบเนื่องมาจาก",oxford5000,derived,past,ได้มาจากแหล่งใดแหล่งหนึ่ง
derive,verb,B2,single,To get or obtain something from a particular source,"ได้มาจาก, สืบเนื่องมาจาก",oxford5000,deriving,gerund,ได้มาจากแหล่งใดแหล่งหนึ่ง
descend,verb,C1,single,To move down from a higher to a lower place,ลงมา,oxford5000,descend,base,ลงมาจากที่สูง
descend,verb,C1,single,To move down from a higher to a lower place,ลงมา,oxford5000,descends,third_person,ลงมาจากที่สูง
descend,verb,C1,single,To move down from a higher to a lower place,ลงมา,oxford5000,descended,past,ลงมาจากที่สูง
descend,verb,C1,single,To move down from a higher to a lower place,ลงมา,oxford5000,descending,gerund,ลงมาจากที่สูง
descent,noun,C1,single,"The act of moving down from a higher place, or a person's family origin","การลงมา, เชื้อสาย",oxford5000,descent,base,การลงมาจากที่สูง หรือเชื้อสายที่สืบทอดมา
descent,noun,C1,single,"The act of moving down from a higher place, or a person's family origin","การลงมา, เชื้อสาย",oxford5000,descents,plural,การลงมาจากที่สูง หรือเชื้อสายที่สืบทอดมา
describe,verb,A1,single,To say what someone or something is like,"พรรณนา, บรรยาย",oxford3000,describe,base,พรรณนาหรืออธิบายลักษณะ
describe,verb,A1,single,To say what someone or something is like,"พรรณนา, บรรยาย",oxford3000,describes,third_person,พรรณนาหรืออธิบายลักษณะ
describe,verb,A1,single,To say what someone or something is like,"พรรณนา, บรรยาย",oxford3000,described,past,พรรณนาหรืออธิบายลักษณะ
describe,verb,A1,single,To say what someone or something is like,"พรรณนา, บรรยาย",oxford3000,describing,gerund,พรรณนาหรืออธิบายลักษณะ
description,noun,A1,single,A piece of writing or speech that says what someone or something is like,"คำบรรยาย, คำพรรณนา",oxford3000,description,base,คำอธิบายหรือคำพรรณนา
description,noun,A1,single,A piece of writing or speech that says what someone or something is like,"คำบรรยาย, คำพรรณนา",oxford3000,descriptions,plural,คำอธิบายหรือคำพรรณนา
desert,noun,A2,single,A large area of land with very little rain and few plants,ทะเลทราย,oxford3000,desert,base,ทะเลทราย
desert,noun,A2,single,A large area of land with very little rain and few plants,ทะเลทราย,oxford3000,deserts,plural,ทะเลทราย
desert,verb,B2,single,"To leave a person, place or thing permanently, especially when you should stay","ทอดทิ้ง, ละทิ้ง",oxford3000,desert,base,ทอดทิ้งหรือละทิ้งไป
desert,verb,B2,single,"To leave a person, place or thing permanently, especially when you should stay","ทอดทิ้ง, ละทิ้ง",oxford3000,deserts,third_person,ทอดทิ้งหรือละทิ้งไป
desert,verb,B2,single,"To leave a person, place or thing permanently, especially when you should stay","ทอดทิ้ง, ละทิ้ง",oxford3000,deserted,past,ทอดทิ้งหรือละทิ้งไป
desert,verb,B2,single,"To leave a person, place or thing permanently, especially when you should stay","ทอดทิ้ง, ละทิ้ง",oxford3000,deserting,gerund,ทอดทิ้งหรือละทิ้งไป
deserve,verb,B2,single,"To have earned something, whether good or bad, by your actions or qualities",สมควรได้รับ,oxford3000,deserve,base,สมควรได้รับ
deserve,verb,B2,single,"To have earned something, whether good or bad, by your actions or qualities",สมควรได้รับ,oxford3000,deserves,third_person,สมควรได้รับ
deserve,verb,B2,single,"To have earned something, whether good or bad, by your actions or qualities",สมควรได้รับ,oxford3000,deserved,past,สมควรได้รับ
deserve,verb,B2,single,"To have earned something, whether good or bad, by your actions or qualities",สมควรได้รับ,oxford3000,deserving,gerund,สมควรได้รับ
design,noun,A1,single,A plan or drawing showing how something will look or work,การออกแบบ,oxford3000,design,base,การออกแบบ
design,noun,A1,single,A plan or drawing showing how something will look or work,การออกแบบ,oxford3000,designs,plural,การออกแบบ
design,verb,A1,single,To plan and make a drawing of how something will look or work,ออกแบบ,oxford3000,design,base,ออกแบบ
design,verb,A1,single,To plan and make a drawing of how something will look or work,ออกแบบ,oxford3000,designs,third_person,ออกแบบ
design,verb,A1,single,To plan and make a drawing of how something will look or work,ออกแบบ,oxford3000,designed,past,ออกแบบ
design,verb,A1,single,To plan and make a drawing of how something will look or work,ออกแบบ,oxford3000,designing,gerund,ออกแบบ
designate,verb,C1,single,To officially choose someone or something for a particular purpose or role,"แต่งตั้ง, กำหนดอย่างเป็นทางการ",oxford5000,designate,base,กำหนดหรือแต่งตั้งให้เป็นอย่างใดอย่างหนึ่งอย่างเป็นทางการ
designate,verb,C1,single,To officially choose someone or something for a particular purpose or role,"แต่งตั้ง, กำหนดอย่างเป็นทางการ",oxford5000,designates,third_person,กำหนดหรือแต่งตั้งให้เป็นอย่างใดอย่างหนึ่งอย่างเป็นทางการ
designate,verb,C1,single,To officially choose someone or something for a particular purpose or role,"แต่งตั้ง, กำหนดอย่างเป็นทางการ",oxford5000,designated,past,กำหนดหรือแต่งตั้งให้เป็นอย่างใดอย่างหนึ่งอย่างเป็นทางการ
designate,verb,C1,single,To officially choose someone or something for a particular purpose or role,"แต่งตั้ง, กำหนดอย่างเป็นทางการ",oxford5000,designating,gerund,กำหนดหรือแต่งตั้งให้เป็นอย่างใดอย่างหนึ่งอย่างเป็นทางการ
designer,noun,A2,single,A person whose job is to design things,นักออกแบบ,oxford3000,designer,base,นักออกแบบ
designer,noun,A2,single,A person whose job is to design things,นักออกแบบ,oxford3000,designers,plural,นักออกแบบ
desirable,adj,C1,single,Worth having or wanting,"น่าปรารถนา, เป็นที่ต้องการ",oxford5000,desirable,base,เป็นที่ต้องการหรือน่าปรารถนา
desire,noun,B2,single,A strong feeling of wanting something,ความปรารถนา,oxford3000,desire,base,ความปรารถนา
desire,noun,B2,single,A strong feeling of wanting something,ความปรารถนา,oxford3000,desires,plural,ความปรารถนา
desire,verb,B2,single,To want something very much,"ปรารถนา, อยากได้มาก",oxford3000,desire,base,ปรารถนาอย่างมาก
desire,verb,B2,single,To want something very much,"ปรารถนา, อยากได้มาก",oxford3000,desires,third_person,ปรารถนาอย่างมาก
desire,verb,B2,single,To want something very much,"ปรารถนา, อยากได้มาก",oxford3000,desired,past,ปรารถนาอย่างมาก
desire,verb,B2,single,To want something very much,"ปรารถนา, อยากได้มาก",oxford3000,desiring,gerund,ปรารถนาอย่างมาก
desk,noun,A1,single,"A table used for writing, reading or working at",โต๊ะทำงาน,oxford3000,desk,base,โต๊ะทำงาน
desk,noun,A1,single,"A table used for writing, reading or working at",โต๊ะทำงาน,oxford3000,desks,plural,โต๊ะทำงาน
desktop,noun,C1,single,"The main screen of a computer where icons appear, or a computer designed to stay in one place","หน้าจอหลัก, คอมพิวเตอร์ตั้งโต๊ะ",oxford5000,desktop,base,หน้าจอหลักของคอมพิวเตอร์ หรือคอมพิวเตอร์ตั้งโต๊ะ
desktop,noun,C1,single,"The main screen of a computer where icons appear, or a computer designed to stay in one place","หน้าจอหลัก, คอมพิวเตอร์ตั้งโต๊ะ",oxford5000,desktops,plural,หน้าจอหลักของคอมพิวเตอร์ หรือคอมพิวเตอร์ตั้งโต๊ะ
desperate,adj,B2,single,Feeling that you have little hope and are ready to do anything to change the situation,"สิ้นหวัง, จนตรอก",oxford3000,desperate,base,สิ้นหวังจนต้องทำทุกวิถีทาง
desperately,adv,B2,single,In a way that shows despair or an urgent need,"อย่างสิ้นหวัง, อย่างยิ่งยวด",oxford5000,desperately,base,อย่างสิ้นหวังหรืออย่างยิ่งยวด
despite,prep,B1,single,Used to say that something happens even though something else might prevent it,"ถึงแม้ว่า, ทั้งที่",oxford3000,despite,base,ถึงแม้ว่า ทั้งที่
destination,noun,B1,single,The place where someone or something is going,จุดหมายปลายทาง,oxford3000,destination,base,จุดหมายปลายทาง
destination,noun,B1,single,The place where someone or something is going,จุดหมายปลายทาง,oxford3000,destinations,plural,จุดหมายปลายทาง
destroy,verb,A2,single,To damage something so badly that it no longer exists or cannot be repaired,ทำลาย,oxford3000,destroy,base,ทำลาย
destroy,verb,A2,single,To damage something so badly that it no longer exists or cannot be repaired,ทำลาย,oxford3000,destroys,third_person,ทำลาย
destroy,verb,A2,single,To damage something so badly that it no longer exists or cannot be repaired,ทำลาย,oxford3000,destroyed,past,ทำลาย
destroy,verb,A2,single,To damage something so badly that it no longer exists or cannot be repaired,ทำลาย,oxford3000,destroying,gerund,ทำลาย
destruction,noun,B2,single,"The act of destroying something, or the state of being destroyed",การทำลาย,oxford5000,destruction,base,การทำลาย
destruction,noun,B2,single,"The act of destroying something, or the state of being destroyed",การทำลาย,oxford5000,destructions,plural,การทำลาย
destructive,adj,C1,single,Causing great damage or harm,ที่ทำลายล้าง,oxford5000,destructive,base,ที่ก่อให้เกิดการทำลาย
detail,noun,A1,single,A small individual fact or piece of information about something,รายละเอียด,oxford3000,detail,base,รายละเอียด
detail,noun,A1,single,A small individual fact or piece of information about something,รายละเอียด,oxford3000,details,plural,รายละเอียด
detail,verb,B2,single,"To describe something fully, giving all the facts",ให้รายละเอียด,oxford3000,detail,base,บอกรายละเอียดอย่างครบถ้วน
detail,verb,B2,single,"To describe something fully, giving all the facts",ให้รายละเอียด,oxford3000,details,third_person,บอกรายละเอียดอย่างครบถ้วน
detail,verb,B2,single,"To describe something fully, giving all the facts",ให้รายละเอียด,oxford3000,detailed,past,บอกรายละเอียดอย่างครบถ้วน
detail,verb,B2,single,"To describe something fully, giving all the facts",ให้รายละเอียด,oxford3000,detailing,gerund,บอกรายละเอียดอย่างครบถ้วน
detailed,adj,B2,single,Having or giving a lot of small pieces of information,"ละเอียด, มีรายละเอียดมาก",oxford3000,detailed,base,ที่มีรายละเอียดครบถ้วน
detain,verb,C1,single,"To keep someone in a place, especially by legal or official power","กักขัง, ควบคุมตัว",oxford5000,detain,base,กักขังหรือควบคุมตัวไว้
detain,verb,C1,single,"To keep someone in a place, especially by legal or official power","กักขัง, ควบคุมตัว",oxford5000,detains,third_person,กักขังหรือควบคุมตัวไว้
detain,verb,C1,single,"To keep someone in a place, especially by legal or official power","กักขัง, ควบคุมตัว",oxford5000,detained,past,กักขังหรือควบคุมตัวไว้
detain,verb,C1,single,"To keep someone in a place, especially by legal or official power","กักขัง, ควบคุมตัว",oxford5000,detaining,gerund,กักขังหรือควบคุมตัวไว้
detect,verb,B2,single,"To discover or notice that something is present, especially something hard to see or sense","ตรวจจับ, ตรวจพบ",oxford3000,detect,base,ตรวจจับหรือค้นพบ
detect,verb,B2,single,"To discover or notice that something is present, especially something hard to see or sense","ตรวจจับ, ตรวจพบ",oxford3000,detects,third_person,ตรวจจับหรือค้นพบ
detect,verb,B2,single,"To discover or notice that something is present, especially something hard to see or sense","ตรวจจับ, ตรวจพบ",oxford3000,detected,past,ตรวจจับหรือค้นพบ
detect,verb,B2,single,"To discover or notice that something is present, especially something hard to see or sense","ตรวจจับ, ตรวจพบ",oxford3000,detecting,gerund,ตรวจจับหรือค้นพบ
detection,noun,C1,single,The act of discovering that something exists or is present,"การตรวจจับ, การตรวจพบ",oxford5000,detection,base,การตรวจจับหรือค้นพบ
detection,noun,C1,single,The act of discovering that something exists or is present,"การตรวจจับ, การตรวจพบ",oxford5000,detections,plural,การตรวจจับหรือค้นพบ
detective,noun,A2,single,"A person, especially a police officer, whose job is to investigate crimes",นักสืบ,oxford3000,detective,base,นักสืบ
detective,noun,A2,single,"A person, especially a police officer, whose job is to investigate crimes",นักสืบ,oxford3000,detectives,plural,นักสืบ
detention,noun,C1,single,"The act of officially keeping someone in a place, especially prison","การกักขัง, การควบคุมตัว",oxford5000,detention,base,การกักขังหรือควบคุมตัว
detention,noun,C1,single,"The act of officially keeping someone in a place, especially prison","การกักขัง, การควบคุมตัว",oxford5000,detentions,plural,การกักขังหรือควบคุมตัว
deteriorate,verb,C1,single,To become worse,"เสื่อมลง, แย่ลง",oxford5000,deteriorate,base,เสื่อมสภาพลงหรือแย่ลง
deteriorate,verb,C1,single,To become worse,"เสื่อมลง, แย่ลง",oxford5000,deteriorates,third_person,เสื่อมสภาพลงหรือแย่ลง
deteriorate,verb,C1,single,To become worse,"เสื่อมลง, แย่ลง",oxford5000,deteriorated,past,เสื่อมสภาพลงหรือแย่ลง
deteriorate,verb,C1,single,To become worse,"เสื่อมลง, แย่ลง",oxford5000,deteriorating,gerund,เสื่อมสภาพลงหรือแย่ลง
determination,noun,B2,single,A firm decision to do something despite difficulty,"ความมุ่งมั่น, ความตั้งใจแน่วแน่",oxford5000,determination,base,ความมุ่งมั่นตั้งใจแน่วแน่
determination,noun,B2,single,A firm decision to do something despite difficulty,"ความมุ่งมั่น, ความตั้งใจแน่วแน่",oxford5000,determinations,plural,ความมุ่งมั่นตั้งใจแน่วแน่
determine,verb,B1,single,"To find out or decide something exactly, often after study or thought","กำหนด, ระบุ, ตัดสิน",oxford3000,determine,base,กำหนดหรือตัดสินใจอย่างแน่ชัด
determine,verb,B1,single,"To find out or decide something exactly, often after study or thought","กำหนด, ระบุ, ตัดสิน",oxford3000,determines,third_person,กำหนดหรือตัดสินใจอย่างแน่ชัด
determine,verb,B1,single,"To find out or decide something exactly, often after study or thought","กำหนด, ระบุ, ตัดสิน",oxford3000,determined,past,กำหนดหรือตัดสินใจอย่างแน่ชัด
determine,verb,B1,single,"To find out or decide something exactly, often after study or thought","กำหนด, ระบุ, ตัดสิน",oxford3000,determining,gerund,กำหนดหรือตัดสินใจอย่างแน่ชัด
determined,adj,B1,single,Having made a firm decision to do something and not letting anything stop you,"มุ่งมั่น, ตั้งใจแน่วแน่",oxford3000,determined,base,ตั้งใจแน่วแน่
devastate,verb,C1,single,"To destroy something completely, or to shock and upset someone deeply","ทำลายล้าง, ทำให้เสียใจมาก",oxford5000,devastate,base,ทำลายล้างอย่างรุนแรง หรือทำให้เสียใจอย่างมาก
devastate,verb,C1,single,"To destroy something completely, or to shock and upset someone deeply","ทำลายล้าง, ทำให้เสียใจมาก",oxford5000,devastates,third_person,ทำลายล้างอย่างรุนแรง หรือทำให้เสียใจอย่างมาก
devastate,verb,C1,single,"To destroy something completely, or to shock and upset someone deeply","ทำลายล้าง, ทำให้เสียใจมาก",oxford5000,devastated,past,ทำลายล้างอย่างรุนแรง หรือทำให้เสียใจอย่างมาก
devastate,verb,C1,single,"To destroy something completely, or to shock and upset someone deeply","ทำลายล้าง, ทำให้เสียใจมาก",oxford5000,devastating,gerund,ทำลายล้างอย่างรุนแรง หรือทำให้เสียใจอย่างมาก
develop,verb,A2,single,To grow or change into a more advanced or mature state,พัฒนา,oxford3000,develop,base,พัฒนาให้ดีขึ้นหรือเติบโตขึ้น
develop,verb,A2,single,To grow or change into a more advanced or mature state,พัฒนา,oxford3000,develops,third_person,พัฒนาให้ดีขึ้นหรือเติบโตขึ้น
develop,verb,A2,single,To grow or change into a more advanced or mature state,พัฒนา,oxford3000,developed,past,พัฒนาให้ดีขึ้นหรือเติบโตขึ้น
develop,verb,A2,single,To grow or change into a more advanced or mature state,พัฒนา,oxford3000,developing,gerund,พัฒนาให้ดีขึ้นหรือเติบโตขึ้น
development,noun,B1,single,The process of growing or changing into a more advanced state,การพัฒนา,oxford3000,development,base,การพัฒนา
development,noun,B1,single,The process of growing or changing into a more advanced state,การพัฒนา,oxford3000,developments,plural,การพัฒนา
device,noun,A2,single,An object or piece of equipment made for a particular purpose,"อุปกรณ์, เครื่องมือ",oxford3000,device,base,อุปกรณ์เครื่องมือ
device,noun,A2,single,An object or piece of equipment made for a particular purpose,"อุปกรณ์, เครื่องมือ",oxford3000,devices,plural,อุปกรณ์เครื่องมือ
devil,noun,C1,single,An evil spirit; the most powerful spirit of evil,"ปีศาจ, มาร",oxford5000,devil,base,ปีศาจ
devil,noun,C1,single,An evil spirit; the most powerful spirit of evil,"ปีศาจ, มาร",oxford5000,devils,plural,ปีศาจ
devise,verb,C1,single,"To invent a plan, method or piece of equipment","คิดค้น, ประดิษฐ์",oxford5000,devise,base,คิดค้นวิธีการหรือแผนการขึ้นมา
devise,verb,C1,single,"To invent a plan, method or piece of equipment","คิดค้น, ประดิษฐ์",oxford5000,devises,third_person,คิดค้นวิธีการหรือแผนการขึ้นมา
devise,verb,C1,single,"To invent a plan, method or piece of equipment","คิดค้น, ประดิษฐ์",oxford5000,devised,past,คิดค้นวิธีการหรือแผนการขึ้นมา
devise,verb,C1,single,"To invent a plan, method or piece of equipment","คิดค้น, ประดิษฐ์",oxford5000,devising,gerund,คิดค้นวิธีการหรือแผนการขึ้นมา
devote,verb,B2,single,To give all or most of your time or effort to a particular activity or purpose,อุทิศ,oxford5000,devote,base,อุทิศเวลาหรือความพยายามให้กับสิ่งใดสิ่งหนึ่ง
devote,verb,B2,single,To give all or most of your time or effort to a particular activity or purpose,อุทิศ,oxford5000,devotes,third_person,อุทิศเวลาหรือความพยายามให้กับสิ่งใดสิ่งหนึ่ง
devote,verb,B2,single,To give all or most of your time or effort to a particular activity or purpose,อุทิศ,oxford5000,devoted,past,อุทิศเวลาหรือความพยายามให้กับสิ่งใดสิ่งหนึ่ง
devote,verb,B2,single,To give all or most of your time or effort to a particular activity or purpose,อุทิศ,oxford5000,devoting,gerund,อุทิศเวลาหรือความพยายามให้กับสิ่งใดสิ่งหนึ่ง
diagnose,verb,C1,single,To identify what illness or problem someone has after examining them,วินิจฉัย,oxford5000,diagnose,base,วินิจฉัยโรคหรือปัญหา
diagnose,verb,C1,single,To identify what illness or problem someone has after examining them,วินิจฉัย,oxford5000,diagnoses,third_person,วินิจฉัยโรคหรือปัญหา
diagnose,verb,C1,single,To identify what illness or problem someone has after examining them,วินิจฉัย,oxford5000,diagnosed,past,วินิจฉัยโรคหรือปัญหา
diagnose,verb,C1,single,To identify what illness or problem someone has after examining them,วินิจฉัย,oxford5000,diagnosing,gerund,วินิจฉัยโรคหรือปัญหา
diagnosis,noun,C1,single,"A doctor's decision about what illness someone has, based on symptoms",การวินิจฉัย,oxford5000,diagnosis,base,การวินิจฉัยโรคหรือปัญหา
diagnosis,noun,C1,single,"A doctor's decision about what illness someone has, based on symptoms",การวินิจฉัย,oxford5000,diagnoses,plural,การวินิจฉัยโรคหรือปัญหา
diagram,noun,B1,single,A simple drawing that shows how something works or explains its parts,แผนภาพ,oxford3000,diagram,base,แผนภาพอธิบาย
diagram,noun,B1,single,A simple drawing that shows how something works or explains its parts,แผนภาพ,oxford3000,diagrams,plural,แผนภาพอธิบาย
dialogue,noun,A1,single,"A conversation between two or more people, especially in a book, play or film",บทสนทนา,oxford3000,dialogue,base,บทสนทนา
dialogue,noun,A1,single,"A conversation between two or more people, especially in a book, play or film",บทสนทนา,oxford3000,dialogues,plural,บทสนทนา
diamond,noun,B1,single,"A hard, clear precious stone used in jewellery",เพชร,oxford3000,diamond,base,เพชร
diamond,noun,B1,single,"A hard, clear precious stone used in jewellery",เพชร,oxford3000,diamonds,plural,เพชร
diary,noun,A2,single,A book in which someone writes down what happens each day,"สมุดบันทึกประจำวัน, ไดอารี่",oxford3000,diary,base,สมุดบันทึกประจำวัน
diary,noun,A2,single,A book in which someone writes down what happens each day,"สมุดบันทึกประจำวัน, ไดอารี่",oxford3000,diaries,plural,สมุดบันทึกประจำวัน
dictate,verb,C1,single,"To say words aloud for someone else to write down, or to control what someone does","บอกให้เขียนตาม, สั่งการ",oxford5000,dictate,base,บอกให้เขียนตามคำพูด หรือสั่งการควบคุม
dictate,verb,C1,single,"To say words aloud for someone else to write down, or to control what someone does","บอกให้เขียนตาม, สั่งการ",oxford5000,dictates,third_person,บอกให้เขียนตามคำพูด หรือสั่งการควบคุม
dictate,verb,C1,single,"To say words aloud for someone else to write down, or to control what someone does","บอกให้เขียนตาม, สั่งการ",oxford5000,dictated,past,บอกให้เขียนตามคำพูด หรือสั่งการควบคุม
dictate,verb,C1,single,"To say words aloud for someone else to write down, or to control what someone does","บอกให้เขียนตาม, สั่งการ",oxford5000,dictating,gerund,บอกให้เขียนตามคำพูด หรือสั่งการควบคุม
dictator,noun,C1,single,"A ruler who has complete power in a country, especially one who took it by force",ผู้เผด็จการ,oxford5000,dictator,base,ผู้ปกครองแบบเผด็จการ
dictator,noun,C1,single,"A ruler who has complete power in a country, especially one who took it by force",ผู้เผด็จการ,oxford5000,dictators,plural,ผู้ปกครองแบบเผด็จการ
dictionary,noun,A1,single,A book that lists words in order and explains their meanings,พจนานุกรม,oxford3000,dictionary,base,พจนานุกรม
dictionary,noun,A1,single,A book that lists words in order and explains their meanings,พจนานุกรม,oxford3000,dictionaries,plural,พจนานุกรม
die,verb,A1,single,To stop living,ตาย,oxford3000,die,base,ตาย
die,verb,A1,single,To stop living,ตาย,oxford3000,dies,third_person,ตาย
die,verb,A1,single,To stop living,ตาย,oxford3000,died,past,ตาย
die,verb,A1,single,To stop living,ตาย,oxford3000,dying,gerund,ตาย
diet,noun,A1,single,"The food that a person or animal usually eats, or a special eating plan followed to lose weight or for health","อาหารการกิน, การควบคุมอาหาร",oxford3000,diet,base,อาหารที่รับประทานเป็นประจำ หรือการควบคุมอาหาร
diet,noun,A1,single,"The food that a person or animal usually eats, or a special eating plan followed to lose weight or for health","อาหารการกิน, การควบคุมอาหาร",oxford3000,diets,plural,อาหารที่รับประทานเป็นประจำ หรือการควบคุมอาหาร
differ,verb,B2,single,To be different from something or someone else,แตกต่าง,oxford5000,differ,base,แตกต่างกัน
differ,verb,B2,single,To be different from something or someone else,แตกต่าง,oxford5000,differs,third_person,แตกต่างกัน
differ,verb,B2,single,To be different from something or someone else,แตกต่าง,oxford5000,differed,past,แตกต่างกัน
differ,verb,B2,single,To be different from something or someone else,แตกต่าง,oxford5000,differing,gerund,แตกต่างกัน
difference,noun,A1,single,The way in which two things are not the same,ความแตกต่าง,oxford3000,difference,base,ความแตกต่าง
difference,noun,A1,single,The way in which two things are not the same,ความแตกต่าง,oxford3000,differences,plural,ความแตกต่าง
different,adj,A1,single,Not the same as another person or thing,แตกต่าง,oxford3000,different,base,แตกต่าง
differentiate,verb,C1,single,To recognize or show the difference between things,แยกแยะ,oxford5000,differentiate,base,แยกแยะความแตกต่าง
differentiate,verb,C1,single,To recognize or show the difference between things,แยกแยะ,oxford5000,differentiates,third_person,แยกแยะความแตกต่าง
differentiate,verb,C1,single,To recognize or show the difference between things,แยกแยะ,oxford5000,differentiated,past,แยกแยะความแตกต่าง
differentiate,verb,C1,single,To recognize or show the difference between things,แยกแยะ,oxford5000,differentiating,gerund,แยกแยะความแตกต่าง
differently,adv,A2,single,In a way that is not the same,อย่างแตกต่าง,oxford3000,differently,base,แตกต่างออกไป
difficult,adj,A1,single,Not easy to do or understand; needing effort or skill,ยาก,oxford3000,difficult,base,ยาก
difficulty,noun,B1,single,"A problem, or the state of being difficult","ความยากลำบาก, อุปสรรค",oxford3000,difficulty,base,ความยากลำบาก
difficulty,noun,B1,single,"A problem, or the state of being difficult","ความยากลำบาก, อุปสรรค",oxford3000,difficulties,plural,ความยากลำบาก
dig,verb,B2,single,"To break up and move earth or another material, especially with a tool or hands",ขุด,oxford3000,dig,base,ขุด
dig,verb,B2,single,"To break up and move earth or another material, especially with a tool or hands",ขุด,oxford3000,digs,third_person,ขุด
dig,verb,B2,single,"To break up and move earth or another material, especially with a tool or hands",ขุด,oxford3000,dug,past,ขุด
dig,verb,B2,single,"To break up and move earth or another material, especially with a tool or hands",ขุด,oxford3000,digging,gerund,ขุด
digital,adj,A2,single,"Using an electronic system that represents information as numbers, especially ones and zeros",ดิจิทัล,oxford3000,digital,base,เกี่ยวกับระบบดิจิทัล
dignity,noun,C1,single,The quality of being worthy of respect,ศักดิ์ศรี,oxford5000,dignity,base,ศักดิ์ศรีความเป็นมนุษย์
dignity,noun,C1,single,The quality of being worthy of respect,ศักดิ์ศรี,oxford5000,dignities,plural,ศักดิ์ศรีความเป็นมนุษย์
dilemma,noun,C1,single,A situation in which you have to make a difficult choice between two options,สถานการณ์กลืนไม่เข้าคายไม่ออก,oxford5000,dilemma,base,สถานการณ์ที่ต้องเลือกระหว่างสองทางที่ยากลำบาก
dilemma,noun,C1,single,A situation in which you have to make a difficult choice between two options,สถานการณ์กลืนไม่เข้าคายไม่ออก,oxford5000,dilemmas,plural,สถานการณ์ที่ต้องเลือกระหว่างสองทางที่ยากลำบาก
dimension,noun,C1,single,"A measurable extent of something, such as length, width or height, or an aspect of a situation","มิติ, ขนาด",oxford5000,dimension,base,มิติหรือขนาดด้านหนึ่งของสิ่งใดสิ่งหนึ่ง
dimension,noun,C1,single,"A measurable extent of something, such as length, width or height, or an aspect of a situation","มิติ, ขนาด",oxford5000,dimensions,plural,มิติหรือขนาดด้านหนึ่งของสิ่งใดสิ่งหนึ่ง
diminish,verb,C1,single,To become or make smaller or less important,"ลดลง, น้อยลง",oxford5000,diminish,base,ลดน้อยลง
diminish,verb,C1,single,To become or make smaller or less important,"ลดลง, น้อยลง",oxford5000,diminishes,third_person,ลดน้อยลง
